iter	Passed	Remaining
1611	106799	25706
1612	106870	25640
1613	106940	25575
1614	107015	25511
1615	107087	25446
1616	107158	25381
1617	107228	25315
1618	107298	25250
1619	107375	25186
1620	107447	25121
1621	107518	25056
1622	107591	24991
1623	107662	24926
1624	107732	24861
1625	107803	24796
1626	107874	24730
1627	107943	24665
1628	108016	24600
1629	108089	24535
1630	108161	24470
1631	108230	24404
1632	108300	24339
1633	108368	24273
1634	108445	24209
1635	108517	24144
1636	108591	24079
1637	108662	24014
1638	108733	23949
1639	108801	23883
1640	108869	23817
1641	108941	23752
1642	109012	23686
1643	109082	23621
1644	109154	23556
1645	109224	23490
1646	109292	23424
1647	109362	23359
1648	109435	23293
1649	109520	23231
1650	109596	23167
1651	109668	23102
1652	109744	23037
1653	109816	22972
1654	109888	22907
1655	109957	22841
1656	110028	22776
1657	110099	22710
